RFC ,Env.,vCenter,cluster name,Server Name ,Vendor,model,Engineer,planed date,status
CHG00254780,E1E2,vCenter-First.demo.com,Cluster-08 ,Server001.demo com,Intel,M50CYP2UR208,Engineer2,11/1/2025,on Hold
CHG00254780,E1E2,vCenter-First.demo.com,Cluster-08 ,Server002.demo com,Intel,M50CYP2UR208,Engineer1,11/1/2025,on Hold
CHG00254780,E1E2,vCenter-First.demo.com,Cluster-08 ,Server003.demo com,Intel,M50CYP2UR208,Engineer1,11/1/2025,on Hold
CHG00254780,E1E2,vCenter-First.demo.com,Cluster-08 ,Server004.demo.com,Intel,M50CYP2UR208,Engineer1,11/1/2025,on Hold
CHG00254780,E1E2,vCenter-First.demo.com,Cluster-08 ,Server005.demo.com,Intel,M50CYP2UR208,Engineer1,11/1/2025,on Hold
CHG00254780,E1E2,vCenter-First.demo.com,Cluster-08 ,Server006.demo.com,Intel,M50CYP2UR208,Engineer1,11/1/2025,on Hold
CHG00254780,E1E2,vCenter-First.demo.com,Cluster-08 ,Server007.demo.com,Intel,M50CYP2UR208,Engineer1,11/1/2025,on Hold
CHG00254780,E1E2,vCenter-First.demo.com,Cluster-08 ,Server008.demo.com,Intel,M50CYP2UR208,Engineer1,11/1/2025,on Hold
CHG00254780,E1E2,vCenter-First.demo.com,Cluster-08 ,Server009.demo.com,Intel,M50CYP2UR208,Engineer1,11/1/2025,on Hold
CHG00254780,E1E2,vCenter-First.demo.com,Cluster-08 ,Server0010.demo.com,Intel,M50CYP2UR208,Engineer1,11/1/2025,on Hold
CHG00254780,E1E2,vCenter-First.demo.com,Cluster-08 ,Server011.demo.com,Intel,M50CYP2UR208,Engineer1,11/1/2025,on Hold
CHG00254780,E1E2,vCenter-First.demo.com,Cluster-08 ,Server012.demo.com,Intel,M50CYP2UR208,Engineer1,11/1/2025,on Hold
CHG00254780,E1E2,vCenter-First.demo.com,Cluster-08 ,Server013.demo.com,Intel,M50CYP2UR208,Engineer1,11/1/2025,on Hold
CHG00254780,E1E2,vCenter-First.demo.com,Cluster-08 ,Server014.demo.com,Intel,M50CYP2UR208,Engineer1,11/1/2025,In Progress
CHG00254779,E1E2,vCenter-First.demo.com,Cluster-09,Server015.demo.com,Intel,M50CYP2UR208,Engineer1,10/1/2025,In Progress
CHG00254779,E1E2,vCenter-First.demo.com,Cluster-09,Server016.demo.com,Intel,M50CYP2UR208,Engineer1,10/1/2025,In Progress
CHG00254779,E1E2,vCenter-First.demo.com,Cluster-09,Server017.demo.com,Intel,M50CYP2UR208,Engineer1,10/1/2025,In Progress
CHG00254779,E1E2,vCenter-First.demo.com,Cluster-09,Server018.demo.com,Intel,M50CYP2UR208,Engineer1,10/1/2025,In Progress
CHG00254779,E1E2,vCenter-First.demo.com,Cluster-09,Server019.demo.com,Intel,M50CYP2UR208,Engineer1,10/1/2025,In Progress
CHG00254779,E1E2,vCenter-First.demo.com,Cluster-09,Server020.demo.com,Intel,M50CYP2UR208,Engineer1,10/1/2025,In Progress
CHG00254779,E1E2,vCenter-First.demo.com,Cluster-09,Server021.demo.com,Intel,M50CYP2UR208,Engineer1,10/1/2025,In Progress
CHG00254779,E1E2,vCenter-First.demo.com,Cluster-09,Server022.demo.com,Intel,M50CYP2UR208,Engineer1,10/1/2025,Completed
CHG00254779,E1E2,vCenter-First.demo.com,Cluster-09,Server023.demo.com,Intel,M50CYP2UR208,Engineer1,10/1/2025,Completed
CHG00254779,E1E2,vCenter-First.demo.com,Cluster-09,Server024.demo.com,Intel,M50CYP2UR208,Engineer1,10/1/2025,Completed
CHG00254779,E1E2,vCenter-First.demo.com,Cluster-09,Server025.demo.com,Intel,M50CYP2UR208,Engineer1,10/1/2025,Completed
CHG00254779,E1E2,vCenter-First.demo.com,Cluster-09,Server026.demo.com,Intel,M50CYP2UR208,Engineer1,10/1/2025,Not Started
CHG00254779,E1E2,vCenter-First.demo.com,Cluster-09,Server027.demo.com,Intel,M50CYP2UR208,Engineer1,10/1/2025,Not Started
CHG00254779,E1E2,vCenter-First.demo.com,Cluster-09,Server028.demo.com,Intel,M50CYP2UR208,Engineer1,10/1/2025,Not Started
